"øko","besid","tempanomaly","climateanomaly","spacetime","mlik","waic","dic","dic_sat"
FALSE,FALSE,FALSE,FALSE,"none",-19529.8655884073,39022.518311927,39053.2052671932,32644.3071421498
TRUE,FALSE,FALSE,FALSE,"none",-19517.4635598025,38987.9045402124,39017.2736754128,32608.3755503691
FALSE,TRUE,FALSE,FALSE,"none",-14524.9305440962,29112.4754009986,28646.7596713667,22237.9107560411
TRUE,TRUE,FALSE,FALSE,"none",-14526.9339081647,29049.2735959801,28584.5894308761,22175.7404772864
FALSE,FALSE,TRUE,FALSE,"none",-19470.766107189,38883.3748786636,38893.7483936907,32484.8502686476
TRUE,FALSE,TRUE,FALSE,"none",-19457.634709411,38847.3399178257,38856.3624839733,32447.4643589302
FALSE,TRUE,TRUE,FALSE,"none",-14478.7275969609,28967.0859783194,28507.6910857256,22098.8097516624
TRUE,TRUE,TRUE,FALSE,"none",-14479.8441543181,28907.2627594458,28448.5135338019,22039.6321630978
FALSE,FALSE,FALSE,TRUE,"none",-19423.6662203946,38753.5274341961,38743.7288447029,32334.8307196597
TRUE,FALSE,FALSE,TRUE,"none",-19409.7599288552,38716.0264187587,38704.793643995,32295.8955189518
FALSE,TRUE,FALSE,TRUE,"none",-14421.9364541586,28823.1753249704,28347.3829018006,21938.5453214163
TRUE,TRUE,FALSE,TRUE,"none",-14422.4529486692,28763.8664134533,28290.1153428252,21881.2777500747
FALSE,FALSE,TRUE,TRUE,"none",-19423.6662203946,38753.5274341961,38743.7288447029,32334.8307196597
TRUE,FALSE,TRUE,TRUE,"none",-19409.7599288552,38716.0264187587,38704.793643995,32295.8955189518
FALSE,TRUE,TRUE,TRUE,"none",-14421.9364528173,28823.1746284176,28347.3822421678,21938.5446617834
TRUE,TRUE,TRUE,TRUE,"none",-14422.4529497582,28763.8667538622,28290.1156613493,21881.2780685988
FALSE,FALSE,FALSE,FALSE,"time",-19142.8725779168,38244.0422624323,38221.0913168681,31812.1931918249
TRUE,FALSE,FALSE,FALSE,"time",-19127.0598915434,38202.5152210386,38178.2723130282,31769.3741879851
FALSE,TRUE,FALSE,FALSE,"time",-14133.844571704,26925.0816318378,26371.3385293639,19962.7850676193
TRUE,TRUE,FALSE,FALSE,"time",-14133.6282447564,26913.5544245468,26358.0026199884,19949.4491594275
FALSE,FALSE,TRUE,FALSE,"time",-19156.8648157247,38244.7594877181,38214.8152525846,31805.9171275415
TRUE,FALSE,TRUE,FALSE,"time",-19140.7500802827,38202.6256478391,38171.323121381,31762.4249963378
FALSE,TRUE,TRUE,FALSE,"time",-14148.6945488368,26921.1631945437,26362.8741876321,19954.3207283971
TRUE,TRUE,TRUE,FALSE,"time",-14148.7616977426,26907.0117691848,26347.6898519715,19939.1363981653
FALSE,FALSE,FALSE,TRUE,"time",-19163.3645222184,38203.101589118,38167.8767046106,31758.9785795674
TRUE,FALSE,FALSE,TRUE,"time",-19147.3441460944,38161.140557115,38124.5570487746,31715.6589237314
FALSE,TRUE,FALSE,TRUE,"time",-14168.7421946269,26924.5196743489,26361.6848365915,19953.1313896522
TRUE,TRUE,FALSE,TRUE,"time",-14168.8365838479,26906.2380200887,26343.899361871,19935.3459187459
FALSE,FALSE,TRUE,TRUE,"time",-19163.3645194754,38203.1015881736,38167.8767038783,31758.9785788351
TRUE,FALSE,TRUE,TRUE,"time",-19147.3441460422,38161.1405565448,38124.5570476149,31715.6589225717
FALSE,TRUE,TRUE,TRUE,"time",-14168.7478612989,26924.4063689876,26361.6319457951,19953.0784988392
TRUE,TRUE,TRUE,TRUE,"time",-14168.593018482,26912.489050009,26348.8085327516,19940.2550857059
FALSE,FALSE,FALSE,FALSE,"space",-17891.0872242311,35706.4272854997,35211.5037736902,28802.9553027067
TRUE,FALSE,FALSE,FALSE,"space",-17869.2606892994,35651.4783565709,35156.1064097933,28747.5579371513
FALSE,TRUE,FALSE,FALSE,"space",-14439.8782582525,28012.6613561033,27462.8117640042,21054.2582166487
TRUE,TRUE,FALSE,FALSE,"space",-14440.6568173138,28005.2228911807,27454.0265891116,21045.4730419697
FALSE,FALSE,TRUE,FALSE,"space",-17825.8169831706,35530.4254008553,35040.9560528683,28632.4077719265
TRUE,FALSE,TRUE,FALSE,"space",-17803.0608640138,35473.7570564861,34983.8087618854,28575.2604796738
FALSE,TRUE,TRUE,FALSE,"space",-14393.2210495653,27869.1690676855,27329.6830296632,20921.1294787414
TRUE,TRUE,TRUE,FALSE,"space",-14392.9850271991,27859.0912310654,27318.3669367084,20909.8133860325
FALSE,FALSE,FALSE,TRUE,"space",-17765.1754416885,35367.2902514904,34863.5113837479,28454.9582434169
TRUE,FALSE,FALSE,TRUE,"space",-17740.5575765148,35306.8088720634,34802.4487437948,28393.8956037729
FALSE,TRUE,FALSE,TRUE,"space",-14334.487456834,27705.9528360843,27154.9242414278,20746.3706887138
TRUE,TRUE,FALSE,TRUE,"space",-14333.5426082792,27694.5089607779,27141.9881205669,20733.4345678855
FALSE,FALSE,TRUE,TRUE,"space",-17765.175433439,35367.2902189453,34863.5113303165,28454.9581899855
TRUE,FALSE,TRUE,TRUE,"space",-17740.5575028896,35306.8084794182,34802.448075069,28393.8949350472
FALSE,TRUE,TRUE,TRUE,"space",-14334.4866061126,27705.9856955576,27154.9511369774,20746.3975842636
TRUE,TRUE,TRUE,TRUE,"space",-14333.5428294228,27694.672852037,27142.1170588018,20733.5635061212
FALSE,FALSE,FALSE,FALSE,"space_and_time",-17497.9704021546,34866.5035180593,34373.4959198419,27964.9448379984
TRUE,FALSE,FALSE,FALSE,"space_and_time",-17471.7375644236,34802.3184634069,34309.2386142344,27900.687556596
FALSE,TRUE,FALSE,FALSE,"space_and_time",-14047.778214473,27129.8272677641,26607.1361280928,20198.5826846448
TRUE,TRUE,FALSE,FALSE,"space_and_time",-14046.0795571265,27116.7915323174,26591.3454438765,20182.7920004817
FALSE,FALSE,TRUE,FALSE,"space_and_time",-17503.3179993539,34850.2380549924,34345.8596407808,27937.3088400451
TRUE,FALSE,TRUE,FALSE,"space_and_time",-17476.9689913279,34785.9415204318,34281.4251550322,27872.874407389
FALSE,TRUE,TRUE,FALSE,"space_and_time",-14062.1092046043,27129.6627014366,26602.0289664338,20193.4755248854
TRUE,TRUE,TRUE,FALSE,"space_and_time",-14060.3221381312,27116.2501316968,26587.6356328534,20179.0821913628
FALSE,FALSE,FALSE,TRUE,"space_and_time",-17525.1595414439,34845.6871531537,34335.5305152895,27926.980236842
TRUE,FALSE,FALSE,TRUE,"space_and_time",-17499.1383823932,34782.2417815424,34271.8941779738,27863.3439391081
FALSE,TRUE,FALSE,TRUE,"space_and_time",-14082.4479600378,27121.21565707,26589.944869755,20181.3914264175
TRUE,TRUE,FALSE,TRUE,"space_and_time",-14080.7708133397,27108.1138535004,26574.6145675975,20166.0611246456
FALSE,FALSE,TRUE,TRUE,"space_and_time",-17525.160872316,34845.6865494415,34335.5308720184,27926.9805935665
TRUE,FALSE,TRUE,TRUE,"space_and_time",-17499.1384189636,34782.2432171282,34271.8956521796,27863.3454133189
FALSE,TRUE,TRUE,TRUE,"space_and_time",-14082.4779856309,27121.3807560557,26589.4797712357,20180.9263278971
TRUE,TRUE,TRUE,TRUE,"space_and_time",-14080.8519983127,27107.9493664619,26575.7220107047,20167.1685679251
FALSE,FALSE,FALSE,FALSE,"spacetime",-16986.496983526,34106.4900290193,32699.044973189,26290.1628451501
TRUE,FALSE,FALSE,FALSE,"spacetime",-16970.0806305433,34056.7811845078,32659.6126675887,26250.7315071029
FALSE,TRUE,FALSE,FALSE,"spacetime",-13748.7244692111,27018.0853182196,26387.4460593841,19978.5523508081
TRUE,TRUE,FALSE,FALSE,"spacetime",-13750.6652915391,27005.5416540064,26374.6155383509,19965.7218273364
FALSE,FALSE,TRUE,FALSE,"spacetime",-16997.3652111223,34099.2330707547,32696.8419064305,26287.9569380355
TRUE,FALSE,TRUE,FALSE,"spacetime",-16980.9670813821,34049.6897237862,32657.4117031321,26248.5277313981
FALSE,TRUE,TRUE,FALSE,"spacetime",-13762.4917308486,27061.5771776097,26430.2439905297,20021.3507576585
TRUE,TRUE,TRUE,FALSE,"spacetime",-13764.4187240982,27046.591159355,26415.526867465,20006.6334772958
FALSE,FALSE,FALSE,TRUE,"spacetime",-16993.7074999374,34056.8813964829,32670.2865044807,26261.402183181
TRUE,FALSE,FALSE,TRUE,"spacetime",-16976.9999259933,34006.3625421566,32630.4369643386,26221.5523040912
FALSE,TRUE,FALSE,TRUE,"spacetime",-13769.2145983904,27227.0927209599,26590.3779626228,20181.484734517
TRUE,TRUE,FALSE,TRUE,"spacetime",-13771.1810056386,27221.1283238816,26583.9119435614,20175.0187156811
FALSE,FALSE,TRUE,TRUE,"spacetime",-16993.6991732025,34056.2981793493,32670.2369793295,26261.3526475753
TRUE,FALSE,TRUE,TRUE,"spacetime",-16977.0056272182,34006.2813053292,32630.6232635114,26221.7386013412
FALSE,TRUE,TRUE,TRUE,"spacetime",-13769.2146489763,27227.0948030406,26590.3803789604,20181.4871508547
